P/N,Quantity,Description,Mouser Link 
3568,2,Blade Fuse Holder,https://www.mouser.com/ProductDetail/Keystone-Electronics/3568?qs=fP5bVVCrK%2Fd7nbA%2FPpwnKw%3D%3D
NVMFWS1D7N04XMT1G,2,Power Protection NMOS,https://www.mouser.com/ProductDetail/onsemi/NVMFWS1D7N04XMT1G?qs=jcD%2FCkGBYePE6PDsAC%252BPUA%3D%3D
MSS1246-104MLC ,1,100uH Inductor,https://www.mouser.com/ProductDetail/Coilcraft/MSS1246-104MLC?qs=zCSbvcPd3palPWK7Z0aFsg%3D%3D
CJS-1200TA ,1,ESP Boot Switch,https://www.mouser.com/ProductDetail/Nidec-Components/CJS-1200TA?qs=XeJtXLiO41RvVCbrESIxPA%3D%3D
VSSAF522-M3/H,6,Flyback Diode,https://www.mouser.com/ProductDetail/Vishay-General-Semiconductor/VSSAF522-M3-H?qs=UkDUCjYnTB00gpgD%2Fb%2Fw%252BA%3D%3D
105313-1102,1,1x2 Nanofit Horizontal,https://www.mouser.com/ProductDetail/Molex/105313-1102?qs=PqFvFmEiOr7V6NoGOXhDtg%3D%3D
105309-1102,2,1x2 Nanofit Vertical,https://www.mouser.com/ProductDetail/Molex/105309-1102?qs=5aG0NVq1C4zzTOxEjLJqtg%3D%3D
105309-1103,1,1x3 Nanofit Vertical,https://www.mouser.com/ProductDetail/Molex/105309-1103?qs=5aG0NVq1C4zjntfwyV%2FsMA%3D%3D
105309-1104,4,1x4 Nanofit Vertical,https://www.mouser.com/ProductDetail/Molex/105309-1104?qs=5aG0NVq1C4znwOV%2Fx2mA4A%3D%3D
105309-1105,2,1x5 Nanofit Vertical,https://www.mouser.com/ProductDetail/Molex/105309-1105?qs=5aG0NVq1C4xeVnIB0kAHNg%3D%3D
105310-1112,2,2x6 Nanofit Vertical,https://www.mouser.com/ProductDetail/Molex/105310-1112?qs=PqFvFmEiOr6WFlrHo9NqiQ%3D%3D
SFH11-PBPC-D05-ST-BK,1,Logic Analyzer Connector,https://www.digikey.com/en/products/detail/sullins-connector-solutions/SFH11-PBPC-D05-ST-BK/1990087
???,5,1x2 Jumper/breakpout pins,???
 ,,,
