Description (Customer #),Quantity,P/N
Capacitor 1uF 0603,9,MLASU168SB5105KTNA01
Capacitor 220nF 0603 ,1,MSASU168SB7224KTNB25 
Capacitor 0.1uF 0603,15,MLASH168SB7104KTNA01 
Capacitor 10nF 0603 ,1,MSASH168SB5103KTNA01
Capacitor 3.3nF 0603 ,1,06035C332K4T2A
Capacitor 10uF 0805,9,GRM21BR61H106KE43K
Molex Nanofit 1x3 Vertical,3,105309-1303
Molex Nanofit 2x6 Vertical,1,105310-1112 
SS24FL,1,SS24FL
1N5819HW-7-F,1,1N5819HW-7-F
Fan Control IC,1,EMC2305-1-AP-TR
Fuse Holder Keystone THT,1,3568
Inductor 100uH,1,MSS1246-104MLC 
Red LED,19,LS Q976.01-N1Q2-1
Blue LED,7,LTST-C193TBKT-5A
USB ESD protection,1,SP0503BAHTG
3.3v LDO,1,LT1963AEST-3.3#TRPBF 
"NMOS PMV213SN,215 ",8,"PMV213SN,215 "
Fuse PTC 3A ,1,SMD1812B300TFT
Resistor 10k,23,CRCW060310K0FKEI 
Resistor 5.1k,4,CRCW06035K10FKEC 
Resistor 470,1,CRCW1206470RFKEA 
Resistor 120,6,CRCW0603120RFKEC 
Resistor 1k,5,CRCW06031K00FKEI 
Resistor 3.3k,1,CRCW06033K30FKECHP 
Resistor 4.3k,4,CRCW06034K30FKEA
Resistor 200k,1,MCT06030C2003FP500 
Resistor 150,15,CRCW0603150RFKEC
Resistor 9.1k,1,CRCW06039K10FKEC 
Resistor 16k ,1,CRCW060316K0FKTA 
Schottky Diode CDBC560-G ,1,CDBC560-G
Humidity and Temperature Sensor ,1,SHT45-AD1B-R2 
Digital Shift Resistor,2,SN74HC594DW
Logic Analyzer Connector,2,SFH11-PBPC-D05-ST-BK
Molex Nanofit 1x2 Vertical,4,105309-1102 
Molex Nanofit 1x4 Vertical,7,105309-1204 
USB-C Receptacle,1,640-USB4215-03-A
Optoisolator EL3H7,4,EL3H7(D)(TA)-VG
5v Power Mux,1,TPS2115ADRBR
Schottky Diode VSSAF522-M3/H,6,VSSAF522-M3/H
Zener Diode SMAF4751A-TP,1,SMAF4751A-TP
NMOS PSMN8R5-40MSDX,3,PSMN8R5-40MSDX
Power Protection IC,1,LM74502HDDFR
28v to 5v Buck,1,TPS5405DR
ESP32 C6 Mini 1,1,ESP32-C6-MINI-1U
BOOT Switch,1,CJS-1200TA 
RESET Button,1,B3SL-1002P 
Resistor 0,4,CRCW06030000Z0EE
